endpoint	n	events	comparison	HR	lower_95_CI	upper_95_CI	p_value
RFi	412	136	LVI-positive vs LVI-negative	1.1961306843820234	0.8270207503874404	1.729979100826604	0.34149687945974255
DRFi	412	104	LVI-positive vs LVI-negative	1.2854714820977997	0.8475845735017685	1.9495835376754478	0.23729562443322258
OS	412	207	LVI-positive vs LVI-negative	0.8353444245644381	0.6033176594782566	1.1566051427275368	0.2785208531926686
BCSS	412	99	LVI-positive vs LVI-negative	1.3220789484920747	0.8644841158495912	2.0218911070773458	0.19770136856907017
