endpoint	n	events	comparison	HR	lower_95_CI	upper_95_CI	p_value
RFi	434	145	ROI-positive vs ROI-negative	1.2367500256447013	0.754407336648993	2.027486414337234	0.3994958784111117
DRFi	434	112	ROI-positive vs ROI-negative	1.5320006071761723	0.914268068047883	2.567109081474822	0.1053084553395269
OS	434	218	ROI-positive vs ROI-negative	0.9915211390203819	0.6380087048515997	1.540910275437303	0.9698045819442236
BCSS	434	107	ROI-positive vs ROI-negative	1.5465201463581693	0.9090126701471901	2.6311234613533143	0.10780974521844158
