endpoint	n	events	comparison	HR	lower_95_CI	upper_95_CI	p_value
RFi	142	46	Model-predicted LVI-positive vs Model-predicted LVI-negative	0.6065123761888745	0.32329271923312797	1.1378457991347808	0.11930902219378453
DRFi	142	39	Model-predicted LVI-positive vs Model-predicted LVI-negative	0.7983348886993418	0.41459114121266394	1.5372701709216416	0.5004972321277298
OS	142	74	Model-predicted LVI-positive vs Model-predicted LVI-negative	0.7887111450485719	0.4892806534437209	1.271387425489902	0.3298926022110568
BCSS	142	38	Model-predicted LVI-positive vs Model-predicted LVI-negative	0.8642009065975026	0.4469333150262191	1.6710394635050472	0.6644217575674716
